"id","credit","duration","total","scans","voidedScans","attemptsWoScan","modifiedQuantities","fraud"
1000044,"Low",1775,47.08,27,4,1,5,1
1000045,"High",73,72.82,3,5,9,4,0
1000046,"High",1172,9.99,1,5,2,5,0
1000047,"High",407,1.76,8,1,0,1,0
1000048,"Low",324,83.48,5,3,4,5,0
1000049,"High",1507,74.04,30,3,4,5,1
1000050,"Low",1810,3.13,29,9,3,4,1
1000051,"High",718,85.37,21,8,10,2,0
1000052,"Low",753,65.13,10,8,6,3,0
1000053,"High",936,33.15,8,6,6,4,0
1000054,"Low",703,13.99,5,10,0,2,0
1000055,"High",485,72.23,28,4,5,2,0
1000056,"Low",1351,49.74,1,8,3,1,0
1000057,"Low",1726,12.37,10,6,5,1,0
1000058,"Low",1724,31.39,19,2,2,0,0
1000059,"High",1658,1.42,15,11,0,0,0
1000060,"High",227,35.77,19,10,3,2,0
1000061,"High",1183,15.82,11,11,10,1,0
1000062,"High",1064,77.97,9,1,7,5,0
1000063,"High",485,74.93,7,10,9,4,0
1000064,"High",1267,85.58,4,4,5,2,0
1000065,"High",282,82.95,8,11,9,1,0
1000066,"High",1461,4.35,5,3,8,3,0
1000067,"Low",288,30.91,27,4,2,5,0
1000068,"Low",180,33.65,24,1,8,0,0
1000069,"High",28,49.84,1,4,6,3,0
1000070,"Low",1649,58.29,14,5,3,1,0
1000071,"High",834,46.81,20,5,3,0,0
1000072,"High",27,60,25,0,3,5,0
1000073,"Low",964,20.4,11,3,2,2,0
1000074,"High",843,3.86,3,2,10,4,0
1000075,"High",683,20.14,4,4,8,2,0
1000076,"Low",542,34.61,15,4,9,2,0
1000077,"Low",587,87.95,6,8,0,5,0
1000078,"Low",1724,19.09,25,7,6,5,1
1000079,"High",1096,67,13,7,5,2,0
1000080,"Low",1116,39.73,3,2,0,2,0
1000081,"Low",1189,32.02,29,6,9,2,1
1000082,"High",1598,92.78,29,2,9,4,1
1000083,"Low",176,91.48,2,9,2,2,0
1000084,"Low",819,68.45,13,10,4,2,0
1000085,"Low",969,91.72,29,6,7,4,1
1000086,"Low",627,99.42,29,11,8,3,1
1000087,"High",1569,98.98,11,6,7,5,0
1000088,"Low",568,22.76,21,3,3,1,0
1000089,"Low",1193,33.9,17,1,5,1,0
1000090,"High",548,65.52,7,7,7,1,0
1000091,"High",637,37,9,3,7,5,0
1000092,"High",76,9.61,30,7,3,2,0
1000093,"Low",837,38.37,19,2,5,5,0
1000094,"High",1294,78.64,1,7,4,5,0
1000095,"High",631,57.44,29,1,2,4,0
1000096,"High",313,92.81,22,0,8,3,0
1000097,"High",583,66.68,8,4,8,2,0
1000098,"High",1625,42.38,7,10,5,1,0
1000099,"Low",762,90.31,13,11,2,1,0
1000100,"High",797,11.89,1,3,5,5,0
1000101,"High",1532,26.51,14,8,10,5,0
1000102,"Low",936,7.43,5,5,1,1,0
1000103,"Low",1455,80.15,20,3,10,5,1
1000104,"Low",553,33.74,3,2,2,2,0
1000105,"High",1596,58.53,5,11,2,4,0
1000106,"Low",36,85.59,20,10,10,4,0
1000107,"Low",160,4.08,15,10,4,3,0
1000108,"High",859,68.03,8,3,8,1,0
1000109,"Low",740,41.56,1,10,1,5,0
1000110,"High",1085,57.88,11,8,7,5,0
1000111,"Low",1160,99.95,2,9,6,2,0
1000112,"High",1721,84.3,15,5,6,3,0
1000113,"High",938,61.52,18,10,5,1,0
1000114,"High",1440,89.35,27,11,10,3,1
1000115,"High",98,54.29,27,11,6,2,0
1000116,"High",640,29.26,23,9,4,0,0
1000117,"Low",1212,69.8,15,7,6,1,0
1000118,"Low",1667,86.54,29,1,7,0,1
1000119,"Low",665,91.71,14,0,4,0,0
1000120,"High",615,18.1,17,8,9,4,0
1000121,"High",1724,50.14,29,3,2,3,1
1000122,"Low",708,35.4,11,0,10,4,0
1000123,"Low",451,39.95,1,9,8,5,0
1000124,"Low",94,40.45,4,4,5,0,0
1000125,"High",747,14.26,10,4,1,1,0
1000126,"High",1291,37.72,16,11,7,4,0
1000127,"Low",1245,99.62,10,6,2,0,0
1000128,"High",269,63,17,0,4,5,0
1000129,"High",1786,77.35,17,4,9,4,0
1000130,"Low",1600,41.95,26,7,0,0,1
1000131,"Low",1564,17.37,23,9,1,1,1
1000132,"High",345,30.29,19,5,8,3,0
1000133,"Low",646,61.16,3,3,5,2,0
1000134,"High",305,23.17,3,9,9,3,0
1000135,"High",928,79.35,11,10,4,5,0
1000136,"High",1747,5.56,22,9,10,3,0
1000137,"High",1455,46.41,17,10,9,0,0
1000138,"High",1243,9.63,27,5,2,0,0
1000139,"Low",664,2.05,20,1,0,2,0
1000140,"High",796,82.14,10,3,9,2,0
1000141,"Low",471,0.46,16,6,2,3,0
1000142,"Low",648,12.09,17,8,5,0,0
1000143,"High",478,0.67,18,9,2,4,0
1000144,"Low",423,36.67,25,4,8,5,1
1000145,"High",1383,92.22,4,3,7,5,0
1000146,"High",627,55.94,17,9,0,4,0
1000147,"Low",365,31.21,29,0,6,5,1
1000148,"High",1041,75.57,1,4,3,0,0
1000149,"Low",6,6.08,5,9,0,0,0
1000150,"High",677,60.18,22,10,2,1,0
1000151,"Low",1507,69.96,17,8,1,1,0
1000152,"High",1777,61.7,5,5,5,2,0
1000153,"High",1795,66.5,24,2,7,5,0
1000154,"High",1662,50.7,21,10,6,2,0
1000155,"Low",596,48.63,18,2,8,3,0
1000156,"High",76,63.01,26,5,0,0,0
1000157,"Low",1240,46.09,19,1,2,1,0
1000158,"Low",1659,83.22,23,1,4,3,0
1000159,"High",136,35.78,2,5,5,4,0
1000160,"Low",646,72.15,3,5,1,2,0
1000161,"High",1005,70.47,5,8,7,5,0
1000162,"High",842,24.82,9,7,2,0,0
1000163,"Low",886,12.19,18,3,4,0,0
1000164,"Low",1529,42.17,22,5,1,5,0
1000165,"High",1719,90.31,30,5,3,2,1
1000166,"Low",1024,69.91,23,8,4,3,0
1000167,"Low",92,0.29,6,1,10,3,0
1000168,"Low",313,7.68,26,4,4,2,0
1000169,"Low",156,9.71,17,8,6,2,0
1000170,"Low",748,59.12,24,6,6,2,1
1000171,"High",985,62.14,25,6,10,5,0
1000172,"High",807,12.18,20,7,8,2,0
1000173,"Low",1811,52.2,20,0,2,2,0
1000174,"High",164,78.41,20,11,10,4,0
1000175,"Low",118,25.65,2,1,4,4,0
1000176,"Low",1084,9.59,19,6,5,5,0
1000177,"Low",133,0.18,9,7,5,0,0
1000178,"Low",1515,76.31,4,9,1,1,0
1000179,"High",979,64.84,8,1,8,0,0
1000180,"High",1028,4.04,29,3,10,0,1
1000181,"Low",1039,10.11,30,11,1,1,1
1000182,"High",382,30.39,11,11,1,5,0
1000183,"High",416,31.75,16,10,1,1,0
1000184,"Low",1716,84.76,1,4,2,5,0
1000185,"Low",1809,55.03,18,6,6,4,1
1000186,"Low",1774,69.65,7,7,2,1,0
1000187,"High",973,51.23,18,0,9,2,0
1000188,"Low",1140,58.51,17,3,0,4,0
1000189,"High",188,51.78,22,0,10,0,0
1000190,"High",381,19.3,2,9,4,1,0
1000191,"High",1668,21.68,20,4,3,2,0
1000192,"Low",1512,33.7,17,5,5,3,0
1000193,"High",183,83.06,28,8,9,5,0
1000194,"Low",758,24.13,13,2,5,5,0
1000195,"High",1739,67.18,3,2,8,3,0
1000196,"Low",430,61.16,8,3,4,5,0
1000197,"High",801,39.56,13,6,7,3,0
1000198,"High",649,33.11,2,4,10,5,0
1000199,"Low",42,4.75,9,3,5,4,0
1000200,"Low",1052,46.8,11,4,1,3,0
1000201,"Low",1296,91.98,10,8,1,4,0
1000202,"High",1376,72.29,2,2,4,3,0
1000203,"High",906,18.85,30,1,8,4,1
1000204,"High",551,91,12,8,2,1,0
1000205,"High",659,77.34,29,5,6,3,0
1000206,"High",1719,31.06,21,1,1,5,0
1000207,"High",1449,14.91,26,8,0,1,0
1000208,"High",1079,88.72,30,7,6,2,1
1000209,"High",1453,88.06,4,7,3,5,0
1000210,"Low",1688,66.03,2,0,0,0,0
1000211,"Low",1758,92.6,18,6,3,4,0
1000212,"High",511,70.76,13,9,10,4,0
1000213,"Low",148,99.95,24,0,10,2,0
1000214,"Low",677,45.95,22,7,1,3,0
1000215,"High",898,67.2,3,2,5,5,0
1000216,"Low",925,0.87,26,2,6,1,1
1000217,"Low",805,19.27,5,9,1,0,0
1000218,"High",1694,63.13,15,8,1,0,0
1000219,"High",1399,56.47,1,3,2,4,0
1000220,"Low",3,92.12,1,8,5,1,0
1000221,"Low",1111,46.88,1,9,9,5,0
1000222,"High",1253,66.08,15,7,6,3,0
1000223,"High",1435,70.46,24,8,6,5,0
1000224,"Low",1203,65.61,11,7,8,3,0
1000225,"High",1446,77.01,15,1,10,1,0
1000226,"High",734,86.5,8,9,1,2,0
1000227,"High",455,55.34,29,3,7,2,0
1000228,"High",37,37.22,14,9,9,3,0
1000229,"Low",1296,27.59,7,9,4,3,0
1000230,"Low",508,91.49,7,11,6,4,0
1000231,"Low",1047,99.19,22,2,8,5,0
1000232,"Low",1482,42.18,22,5,5,2,1
1000233,"Low",1201,98.79,22,5,5,1,1
1000234,"High",1438,48.63,23,0,5,4,0
1000235,"Low",237,86.68,21,4,2,2,0
1000236,"High",1271,48.93,15,6,8,4,0
1000237,"High",273,58.81,7,10,5,2,0
1000238,"Low",434,54.06,24,9,0,4,0
1000239,"High",703,98.23,28,7,3,5,0
1000240,"High",307,12.54,12,5,1,0,0
1000241,"High",330,75.29,3,10,7,4,0
1000242,"Low",120,71.27,14,10,10,0,0
1000243,"High",1691,45.4,3,0,6,0,0
1000244,"Low",1010,10.9,1,11,1,1,0
1000245,"High",1647,67.68,16,11,4,5,0
1000246,"Low",1230,75.1,3,8,3,4,0
1000247,"High",1654,96.52,20,10,8,3,0
1000248,"High",1658,1.43,28,6,1,0,1
1000249,"Low",717,18.55,26,11,2,1,1
1000250,"High",371,50.52,11,3,2,5,0
1000251,"Low",5,1.39,10,0,5,3,0
1000252,"High",137,17.11,9,5,4,5,0
1000253,"Low",1228,86.44,10,10,10,1,0
1000254,"High",600,10.37,28,3,8,0,0
1000255,"Low",345,47.82,23,8,8,1,1
1000256,"Low",1607,70.49,12,1,0,0,0
1000257,"High",674,81.43,9,8,0,5,0
1000258,"Low",1561,28.17,21,9,4,4,1
1000259,"High",792,96.76,5,6,2,5,0
1000260,"High",1064,80.44,27,3,2,2,0
1000261,"High",1212,28.12,4,7,9,3,0
1000262,"High",1827,21.98,14,7,1,0,0
1000263,"Low",83,15.75,2,8,8,4,0
1000264,"Low",843,73.72,3,1,6,2,0
1000265,"High",159,12.3,26,5,1,4,0
1000266,"High",1639,47.36,16,0,9,2,0
1000267,"High",958,2.48,9,10,5,0,0
1000268,"High",423,98.38,17,10,0,2,0
1000269,"High",757,21.49,30,4,4,3,0
1000270,"High",1613,41.36,6,11,1,1,0
1000271,"High",825,30.89,21,7,5,5,0
1000272,"Low",366,54.79,11,1,1,4,0
1000273,"Low",556,63.71,19,5,3,1,0
1000274,"Low",759,82.74,22,3,7,5,0
1000275,"High",410,24.32,22,6,10,4,0
1000276,"Low",1591,86.87,7,9,3,1,0
1000277,"Low",1160,21.26,3,6,5,1,0
1000278,"High",99,33.72,20,5,1,5,0
1000279,"Low",478,78.04,17,4,5,1,0
1000280,"Low",1626,6.06,11,3,8,3,0
1000281,"Low",1765,79.15,16,0,5,3,0
1000282,"High",496,51.11,25,9,1,3,0
1000283,"High",997,48.08,5,3,5,2,0
1000284,"High",1093,11.52,21,10,1,2,0
1000285,"Low",632,30.27,22,3,7,3,0
1000286,"Low",1530,5.43,23,8,0,0,0
1000287,"Low",1787,83.55,14,8,3,0,0
1000288,"Low",236,14.04,7,2,4,4,0
1000289,"Low",655,79.99,18,0,2,1,0
1000290,"Low",275,12.3,29,5,3,3,0
1000291,"Low",1493,74.31,27,4,1,2,1
1000292,"High",326,2.45,28,10,4,3,0
1000293,"High",1671,13.79,9,0,2,2,0
1000294,"High",1108,72.51,20,3,10,2,0
1000295,"High",1694,43.89,23,4,2,0,0
1000296,"High",1388,77.73,18,1,0,5,0
1000297,"Low",395,50.25,11,6,3,4,0
1000298,"Low",245,78.77,30,7,0,2,0
1000299,"High",713,0.93,10,8,7,2,0
1000300,"Low",1364,63.8,6,7,1,2,0
1000301,"Low",226,41.7,21,2,3,0,0
1000302,"Low",418,84.48,13,4,1,4,0
1000303,"High",788,35.28,11,8,6,4,0
1000304,"High",289,13.3,1,9,1,5,0
1000305,"High",1770,97.03,27,2,0,4,0
1000306,"High",516,49.82,17,7,3,1,0
1000307,"Low",502,73.62,28,7,3,3,1
1000308,"Low",277,81.38,1,10,2,1,0
1000309,"Low",554,39.62,27,1,2,1,0
1000310,"Low",1310,20.95,29,6,2,4,1
1000311,"High",1585,33.47,9,5,6,0,0
1000312,"Low",580,97.99,11,5,0,2,0
1000313,"Low",53,35.02,10,9,7,3,0
1000314,"Low",1524,3.09,21,7,1,2,0
1000315,"Low",585,36.18,8,8,2,3,0
1000316,"High",467,74.91,13,8,9,5,0
1000317,"High",113,84.53,5,2,7,3,0
1000318,"High",400,66.03,16,11,0,1,0
1000319,"High",1064,43.23,12,9,3,4,0
1000320,"High",1688,2.54,8,2,0,1,0
1000321,"High",120,98.33,27,0,8,0,0
1000322,"Low",1195,33.02,2,4,9,1,0
1000323,"Low",1571,25.01,26,2,10,2,1
1000324,"Low",749,63.81,13,9,2,0,0
1000325,"Low",991,14.96,22,11,6,0,1
1000326,"High",1499,31.43,12,11,7,3,0
1000327,"High",290,13,4,0,4,2,0
1000328,"Low",1517,38.88,28,10,5,3,1
1000329,"Low",565,17.23,10,11,9,4,0
1000330,"High",22,98,9,8,1,4,0
1000331,"High",638,90.53,9,6,1,1,0
1000332,"Low",1033,37.82,2,10,5,1,0
1000333,"Low",599,23.28,24,10,6,4,1
1000334,"Low",1206,80.94,17,4,9,3,0
1000335,"Low",44,80.21,9,2,7,3,0
1000336,"High",1271,56.72,28,1,2,4,0
1000337,"Low",1765,25.19,9,3,1,2,0
1000338,"Low",1199,11.66,21,8,0,0,0
1000339,"High",137,88.69,22,2,4,5,0
1000340,"Low",981,77.96,3,9,5,5,0
1000341,"High",481,31.15,23,3,6,2,0
1000342,"Low",30,74.7,22,5,4,4,0
1000343,"High",307,60.57,8,6,8,2,0
1000344,"Low",601,74.23,29,0,0,0,0
1000345,"Low",1124,35.55,22,4,3,3,0
1000346,"High",1409,8.35,13,9,8,0,0
1000347,"High",323,40.54,5,10,4,3,0
1000348,"Low",119,10.11,20,7,0,5,0
1000349,"High",1437,93.5,28,6,9,2,1
1000350,"Low",62,74.4,20,7,2,0,0
1000351,"High",115,49.74,14,6,10,5,0
1000352,"Low",1506,36.67,18,7,3,4,0
1000353,"Low",1328,47.92,10,11,8,1,0
1000354,"High",695,89.26,19,11,5,4,0
1000355,"Low",551,78.39,14,7,1,3,0
1000356,"High",125,60.93,7,1,7,2,0
1000357,"Low",351,60.77,12,8,3,4,0
1000358,"Low",1224,72.92,4,3,1,3,0
1000359,"Low",1158,76.41,18,10,10,4,0
1000360,"Low",323,82.35,5,11,5,3,0
1000361,"High",51,88.35,7,0,9,2,0
1000362,"High",815,36,29,10,7,1,1
1000363,"High",1318,12.91,11,0,3,0,0
1000364,"High",1238,92.99,12,9,0,5,0
1000365,"High",792,96.71,10,10,3,4,0
1000366,"High",1776,8.05,30,8,7,0,1
1000367,"Low",383,56.22,29,10,0,0,1
1000368,"High",616,26.48,11,11,8,4,0
1000369,"High",664,89.14,22,9,9,1,0
1000370,"Low",641,21.7,13,5,3,2,0
1000371,"Low",1617,44.4,4,0,1,2,0
1000372,"High",428,80.32,4,3,8,3,0
1000373,"High",1555,60.88,30,7,5,3,1
1000374,"High",1514,84.79,5,11,3,2,0
1000375,"High",1438,71.89,21,8,5,0,0
1000376,"High",1164,9.61,6,10,5,1,0
1000377,"Low",1645,93.14,19,5,9,2,1
1000378,"High",1461,53.93,6,3,1,5,0
1000379,"High",595,66.52,14,2,4,3,0
1000380,"Low",896,18.35,6,6,8,4,0
1000381,"High",1494,22.82,9,8,1,5,0
1000382,"Low",238,42.64,10,2,1,1,0
1000383,"High",491,34.49,9,6,7,0,0
1000384,"High",1252,81.59,14,6,4,4,0
1000385,"High",446,68.75,6,0,0,4,0
1000386,"Low",298,90.69,23,11,0,1,0
1000387,"Low",489,6.19,11,5,3,3,0
1000388,"Low",465,42.75,28,11,6,3,1
1000389,"Low",505,60.29,21,8,7,4,0
1000390,"Low",638,10.21,13,2,5,5,0
1000391,"Low",1313,74.46,19,7,5,4,0
1000392,"High",1743,16.15,12,7,8,2,0
1000393,"Low",724,3.97,30,11,10,2,1
1000394,"Low",632,52.89,10,3,6,5,0
1000395,"High",1462,25.84,1,7,3,4,0
1000396,"High",783,81.71,14,4,3,4,0
1000397,"Low",155,80.31,25,7,8,4,1
1000398,"Low",1483,77.28,5,6,0,0,0
1000399,"Low",1600,12.02,11,10,8,5,0
1000400,"High",1404,33.03,3,1,9,4,0
1000401,"Low",697,24.12,14,6,7,1,0
1000402,"High",221,37.72,23,2,1,1,0
1000403,"High",972,12.07,30,6,3,0,0
1000404,"Low",1264,93.56,10,8,3,5,0
1000405,"High",233,32.92,2,11,8,4,0
1000406,"Low",584,70.44,13,8,5,2,0
1000407,"High",232,90.43,9,0,2,1,0
1000408,"High",940,21.47,19,0,9,5,0
1000409,"High",1251,0.62,24,5,3,3,0
1000410,"Low",1752,55.84,25,10,9,2,1
1000411,"Low",1804,57.59,6,9,5,0,0
1000412,"Low",364,37.8,30,2,9,2,1
1000413,"Low",491,86.37,12,5,1,3,0
1000414,"Low",1254,9.27,21,0,10,5,0
1000415,"High",45,21.96,18,11,5,5,0
1000416,"High",656,8.19,17,10,1,0,0
1000417,"Low",1333,11.08,2,8,0,3,0
1000418,"High",1192,45.05,14,5,1,2,0
1000419,"High",1095,53.33,16,11,8,5,0
1000420,"High",1765,81.42,18,0,10,4,0
1000421,"High",609,37.58,11,8,2,0,0
1000422,"High",902,56.54,21,9,8,0,0
1000423,"Low",1093,78.05,2,11,0,0,0
1000424,"High",862,85.54,6,9,3,3,0
1000425,"Low",734,84.82,7,0,2,1,0
1000426,"Low",1567,24.07,1,11,1,2,0
1000427,"Low",932,47.05,11,10,8,3,0
1000428,"Low",818,20.65,23,5,4,5,0
1000429,"Low",59,8.56,23,7,4,0,0
1000430,"High",154,96.81,20,2,4,0,0
1000431,"High",975,28.63,16,11,3,5,0
1000432,"High",1709,56.88,7,10,1,5,0
1000433,"Low",186,96.77,10,9,0,5,0
1000434,"Low",456,9.96,24,1,4,0,0
1000435,"Low",1723,6.33,12,8,8,5,0
1000436,"High",226,93.98,5,3,1,4,0
1000437,"Low",30,59.13,21,4,1,1,0
1000438,"High",77,84.7,18,5,0,5,0
1000439,"Low",1737,83.72,3,1,3,0,0
1000440,"Low",1366,41.62,14,2,2,4,0
1000441,"High",1528,6.2,13,1,1,4,0
1000442,"Low",1432,20.17,18,7,3,4,0
1000443,"Low",1648,92.26,29,9,4,1,1
1000444,"Low",499,81.11,15,6,3,2,0
1000445,"Low",1417,77.32,29,9,1,3,1
1000446,"High",340,92.27,19,1,7,5,0
1000447,"High",873,75.76,2,5,0,5,0
1000448,"High",1477,63.48,1,1,10,5,0
1000449,"Low",988,24.55,7,3,1,0,0
1000450,"High",1063,71.59,10,0,2,5,0
1000451,"High",1522,59.7,20,4,5,5,0
1000452,"High",254,31.94,10,3,0,4,0
1000453,"High",60,58.06,8,4,1,1,0
1000454,"High",811,99.11,25,9,3,1,0
1000455,"Low",618,81.75,16,2,1,5,0
1000456,"Low",1622,89.32,4,0,9,4,0
1000457,"Low",1763,16.6,9,9,5,2,0
1000458,"Low",1618,55.43,24,0,10,5,1
1000459,"High",1505,49.48,2,3,9,3,0
1000460,"High",101,22.64,22,5,0,0,0
1000461,"High",733,83.78,20,11,8,0,0
1000462,"Low",353,75.1,21,1,8,5,0
1000463,"High",1635,10.62,20,1,2,1,0
1000464,"High",409,29.25,7,8,3,1,0
1000465,"High",892,83.46,13,11,10,2,0
1000466,"Low",650,96.16,2,1,2,4,0
1000467,"Low",1642,95.57,25,9,5,4,1
1000468,"High",1000,41.77,3,6,6,4,0
1000469,"Low",383,33.72,2,8,1,0,0
1000470,"Low",1689,86.41,26,9,9,4,1
1000471,"Low",1561,79.97,11,11,2,4,0
1000472,"Low",593,78.4,20,9,7,1,0
1000473,"Low",1223,36.2,7,9,4,0,0
1000474,"Low",1341,47.12,2,1,7,4,0
1000475,"Low",1002,38.56,7,6,10,3,0
1000476,"High",39,14.24,22,0,1,3,0
1000477,"High",1232,13.82,9,4,5,4,0
1000478,"Low",280,44.36,27,2,5,3,1
1000479,"High",1489,18.85,29,1,6,3,0
1000480,"Low",1696,67.17,3,1,0,3,0
1000481,"Low",866,83.15,18,11,6,3,0
1000482,"High",1055,95.2,30,5,0,3,0
1000483,"High",1163,46.87,4,8,3,2,0
1000484,"Low",991,97.08,18,1,4,1,0
1000485,"High",945,98.37,17,11,5,5,0
1000486,"Low",855,84.07,8,5,4,1,0
1000487,"Low",131,24.13,25,5,9,2,1
1000488,"High",674,57.48,13,10,5,1,0
1000489,"High",1673,91.46,9,1,7,4,0
1000490,"Low",1379,6.69,15,10,0,1,0
1000491,"High",1468,92.42,22,5,1,2,0
1000492,"Low",1438,99.87,8,9,10,5,0
1000493,"High",1050,41,30,8,7,2,1
1000494,"Low",1462,70.69,23,3,0,2,0
1000495,"Low",284,43.77,12,0,9,0,0
1000496,"Low",1401,37.18,3,6,4,1,0
1000497,"Low",646,65.74,24,4,6,5,0
1000498,"Low",986,17.53,14,0,6,4,0
1000499,"Low",1655,8.65,13,3,0,4,0
1000500,"High",1322,34.1,27,3,4,1,0
1000501,"High",532,65.21,22,3,2,0,0
1000502,"High",970,74.29,26,9,5,3,0
1000503,"High",1277,46.4,8,6,1,0,0
1000504,"High",1416,62.19,10,4,6,2,0
1000505,"Low",933,0.26,20,7,2,3,0
1000506,"High",1280,56.69,19,0,10,1,0
1000507,"Low",1195,9.96,26,1,8,5,1
1000508,"Low",89,73.83,1,4,4,3,0
1000509,"High",460,21.93,19,6,7,1,0
1000510,"Low",585,76.58,9,10,9,0,0
1000511,"Low",708,8.9,17,6,9,0,0
1000512,"Low",1592,28.29,27,3,5,2,1
1000513,"Low",1350,52.83,18,11,10,5,1
1000514,"High",967,80.05,18,5,5,2,0
1000515,"High",6,49.32,20,6,7,5,0
1000516,"Low",205,50.43,3,11,10,4,0
1000517,"Low",778,74.66,2,9,6,0,0
1000518,"High",817,12.09,25,11,9,1,0
1000519,"Low",1828,38.53,4,8,4,5,0
1000520,"Low",1807,18.91,3,7,7,5,0
1000521,"High",991,6.69,6,4,2,1,0
1000522,"High",920,39.76,28,1,1,5,0
1000523,"High",445,18.95,7,0,7,2,0
1000524,"High",852,2.04,22,11,3,2,0
1000525,"Low",1077,68.18,1,7,2,5,0
1000526,"High",356,26.34,6,2,3,3,0
1000527,"High",1078,21.91,2,3,0,0,0
1000528,"High",21,21.92,4,10,2,0,0
1000529,"Low",795,25.52,24,9,1,0,0
1000530,"Low",665,34.16,13,5,1,2,0
1000531,"High",537,90.47,5,9,9,5,0
1000532,"Low",670,3.57,12,1,5,4,0
1000533,"High",446,24.14,3,3,1,2,0
1000534,"Low",93,49.47,8,0,6,3,0
1000535,"Low",1664,81.81,4,2,5,3,0
1000536,"High",1347,26.42,3,2,0,5,0
1000537,"Low",344,68.51,26,7,8,1,1
1000538,"Low",1203,94.4,11,4,8,5,0
1000539,"High",1804,29.89,30,8,5,4,1
1000540,"High",523,46,6,1,4,2,0
1000541,"High",1136,91.37,13,6,2,3,0
1000542,"High",406,42.52,18,11,5,0,0
1000543,"High",71,16.94,2,4,1,2,0
1000544,"High",561,63.29,1,5,9,2,0
1000545,"Low",936,25.15,6,3,0,3,0
1000546,"Low",455,69.31,12,3,8,5,0
1000547,"High",1119,64.04,12,1,7,1,0
1000548,"Low",568,58.61,9,9,9,1,0
1000549,"Low",1072,22.19,29,6,8,0,1
1000550,"Low",1809,73.68,22,3,7,4,1
1000551,"Low",1063,13.27,16,3,3,2,0
1000552,"High",787,55.45,20,10,1,3,0
1000553,"High",897,84.26,21,6,1,4,0
1000554,"Low",1556,67.11,20,7,5,3,1
1000555,"Low",815,55.65,28,9,5,2,1
1000556,"Low",1038,53.13,23,5,10,5,1
1000557,"High",1579,82.54,28,8,7,3,1
1000558,"Low",1731,46.61,17,5,5,0,0
1000559,"Low",20,87.63,28,5,9,4,0
1000560,"Low",1595,72.33,28,2,9,5,1
1000561,"Low",524,37.54,11,0,9,1,0
1000562,"High",199,42.2,16,0,1,1,0
1000563,"High",260,91.12,25,10,4,4,0
1000564,"High",1393,93.95,9,4,10,3,0
1000565,"Low",935,86.14,8,1,4,1,0
1000566,"Low",1178,93.98,15,11,3,2,0
1000567,"High",1738,38.73,23,2,3,2,0
1000568,"Low",933,45.89,14,11,1,0,0
1000569,"Low",1111,19.55,3,11,3,5,0
1000570,"Low",999,14.67,11,4,4,1,0
1000571,"Low",231,98.74,12,11,7,2,0
1000572,"High",353,56.1,25,6,4,1,0
1000573,"High",1172,92.86,2,6,10,5,0
1000574,"Low",885,99.72,8,5,0,3,0
1000575,"Low",1296,65.91,13,5,6,3,0
1000576,"High",275,79.77,1,5,10,1,0
1000577,"High",700,27.78,8,10,10,1,0
1000578,"High",1603,59.96,19,3,9,5,0
1000579,"High",989,12.11,16,7,2,4,0
1000580,"Low",1474,44.17,1,6,7,3,0
1000581,"Low",606,46.18,29,1,7,4,1
1000582,"High",1372,49.44,21,9,9,4,0
